waypoint,step,actual_distance_m,simulated_distance_m,calibrated_distance_m,calibration_factor,calibration_meta,distance_error_m,distance_error_pct,distance_accuracy_pct,avg_velocity_kmh
23,213,18.082746803875832,24.090175820223248,13.972301975729483,0.58,close,-4.110444828146349,-22.731307763847703,77.2686922361523,38.9846
21,217,17.74987130667995,24.162197936936845,14.01407480342337,0.58,close,-3.73579650325658,-21.04689346029601,78.953106539704,38.9846
25,223,18.37194720609589,24.11075356785572,13.984237069356316,0.58,close,-4.387710136739573,-23.88266245008429,76.1173375499157,38.6142
22,227,18.082746803875832,24.203353432201677,14.037944990676971,0.58,close,-4.044801813198861,-22.368293141901997,77.631706858098,38.9846
27,233,18.66673686646802,24.12590910120914,14.644426824433946,0.607,medium,-4.022310042034075,-21.548008475222836,78.45199152477716,38.6142
24,237,18.37194720609589,24.208220091738806,14.040767653208507,0.58,close,-4.331179552887383,-23.57496189326235,76.42503810673765,38.6142
29,243,19.03614661638192,24.07418695475734,14.613031481537705,0.607,medium,-4.423115134844215,-23.235349170077406,76.7646508299226,38.3364
26,247,18.66673686646802,24.17605347219468,14.67486445762217,0.607,medium,-3.9918724088458504,-21.384950339213532,78.61504966078647,38.6142
31,253,19.47940418739101,24.07287143429294,14.612232960615813,0.607,medium,-4.8671712267751985,-24.986242802671093,75.01375719732891,38.3364
28,257,19.03614661638192,24.174728179073416,14.674060004697562,0.607,medium,-4.362086611684358,-22.914756329573972,77.08524367042602,38.3364
33,263,19.78010086481037,24.00083879150781,14.56850914644524,0.607,medium,-5.211591718365131,-26.347649862780887,73.65235013721912,37.96600000000001
30,267,19.47940418739101,24.030684164571525,14.586625287894915,0.607,medium,-4.892778899496097,-25.117703048962785,74.88229695103722,38.3364
34,273,19.81208905910582,23.82977585103205,14.464673941576454,0.607,medium,-5.347415117529366,-26.990667675560665,73.00933232443933,37.7808
32,277,19.78010086481037,23.685739351227294,14.377243786194967,0.607,medium,-5.402857078615405,-27.314608330573854,72.68539166942614,37.96600000000001
37,283,19.19371014468592,23.500554461766466,14.264836558292245,0.607,medium,-4.928873586393674,-25.67962915579566,74.32037084420435,37.7808
35,287,19.81208905910582,23.253621490177494,14.114948244537738,0.607,medium,-5.6971408145680815,-28.75588130848636,71.24411869151365,37.7808
38,292,18.49646838656416,23.273177017085068,13.49844266990934,0.58,close,-4.998025716654821,-27.021513578696936,72.97848642130306,37.68820000000001
36,297,19.19371014468592,23.03241070312887,13.980673296799225,0.607,medium,-5.213036847886695,-27.16013115020394,72.83986884979606,37.7808
41,302,17.660143545940393,23.139977212216156,13.42118678308537,0.58,close,-4.2389567628550235,-24.002957574087493,75.99704242591251,37.1326
39,307,18.49646838656416,23.01238848349702,13.34718532042827,0.58,close,-5.14928306613589,-27.839276982606748,72.16072301739325,37.68820000000001
42,313,17.131894381472808,23.21338807188971,13.463765081696032,0.58,close,-3.6681292997767763,-21.411113202656995,78.58888679734301,36.114000000000004
40,317,17.660143545940393,23.217288043100393,13.466027064998226,0.58,close,-4.194116480942167,-23.749050906816016,76.25094909318398,37.1326
43,323,16.464966590972907,23.393865603497574,13.568442050028592,0.58,close,-2.8965245409443146,-17.59204626951606,82.40795373048394,35.2806
46,329,16.020784322571078,23.31031029602014,13.519979971691681,0.58,close,-2.500804350879397,-15.60974981328541,84.3902501867146,34.8176
44,337,16.464966590972907,22.903899780279747,13.284261872562253,0.58,close,-3.180704718410654,-19.3180150159218,80.6819849840782,35.2806
48,343,15.545099188587704,23.03514993442788,12.669332463935335,0.55,very_close,-2.875766724652369,-18.49950707785504,81.50049292214496,34.5398
45,347,16.020784322571078,23.012876712479258,13.347468493237969,0.58,close,-2.6733158293331094,-16.686547771364573,83.31345222863543,34.8176
