timestamp,timestamp_iso,lat,lon,datarate,jitter,ip_local,port_local,ip_remote,port_remote,measurement
2021-06-22 09:51:13.359255+02:00,,,,85500000.0,0.000439,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:14.359235+02:00,,,,82600000.0,5.4e-05,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:15.359233+02:00,,,,77300000.0,0.00034899999999999997,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:16.359250+02:00,,,,73000000.0,5.4e-05,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:17.359454+02:00,,,,73100000.0,0.0006720000000000001,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:18.359223+02:00,,,,57600000.0,0.00035099999999999997,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:19.359269+02:00,,,,53800000.0,0.000304,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:20.359249+02:00,,,,43300000.0,0.000175,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:21.359206+02:00,,,,42200000.0,0.000312,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:22.359304+02:00,,,,37400000.0,0.001147,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:23.359351+02:00,,,,37900000.0,0.00051,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:24.359326+02:00,,,,35700000.0,0.000537,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:25.359247+02:00,,,,32200000.000000004,0.0010220000000000001,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:26.359483+02:00,,,,30000000.0,0.000771,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:27.359231+02:00,,,,31000000.0,0.00025,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:28.359488+02:00,,,,27000000.0,0.000364,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:29.359335+02:00,,,,22400000.0,0.000703,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:30.359332+02:00,,,,21500000.0,0.00038,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:31.359274+02:00,,,,19200000.0,0.000477,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:32.359454+02:00,,,,21700000.0,0.000732,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:33.359468+02:00,,,,16800000.0,0.000377,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:34.359313+02:00,,,,17800000.0,0.000674,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:35.359376+02:00,,,,22200000.0,0.000747,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:36.359251+02:00,,,,18800000.0,0.0011510000000000001,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:37.359201+02:00,,,,22200000.0,0.000705,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:38.359241+02:00,,,,18400000.0,0.000319,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:39.359263+02:00,,,,19200000.0,0.000776,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:40.359540+02:00,,,,21400000.0,0.000587,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:41.359241+02:00,,,,15600000.0,0.000892,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:42.359242+02:00,,,,11800000.0,0.001322,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:43.359610+02:00,,,,13200000.0,0.00086,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:44.359398+02:00,,,,14100000.0,0.0007890000000000001,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:45.359473+02:00,,,,12300000.0,0.000739,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:46.359258+02:00,,,,13500000.0,0.000585,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:47.359246+02:00,,,,15100000.0,0.000481,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:48.359297+02:00,,,,18200000.0,0.001324,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:49.359479+02:00,,,,20500000.0,0.0013540000000000002,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:50.359323+02:00,,,,40800000.0,0.000859,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:51.359319+02:00,,,,45200000.0,0.0010680000000000002,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:52.359285+02:00,,,,46600000.0,0.000314,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:53.359256+02:00,,,,50200000.0,0.000741,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:54.359323+02:00,,,,62100000.0,0.00018800000000000002,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:55.359277+02:00,,,,53200000.0,0.000162,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:56.359213+02:00,,,,47200000.0,0.000378,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:57.359203+02:00,,,,48200000.0,0.000205,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:58.359425+02:00,,,,41200000.0,0.000248,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:51:59.359192+02:00,,,,51700000.0,0.000199,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:00.359196+02:00,,,,52500000.0,0.000263,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:01.359261+02:00,,,,48500000.0,0.000211,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:02.359237+02:00,,,,46600000.0,0.00033400000000000004,10.175.117.136,47474,193.174.67.58,5204,0
